Onset,Offset,MIDI number,Pitch name,Duration,Staff,Measure,Beat in Measure
-1.0,-0.75,71,B4,0.25,0,-1,1.0
-0.75,-0.5,69,A4,0.25,0,-1,1.25
-0.5,-0.25,68,G#4,0.25,0,-1,1.5
-0.25,0.0,69,A4,0.25,0,-1,1.75
0.0,0.5,57,A3,0.5,1,0,0.0
0.0,0.5,72,C5,0.5,0,0,0.0
0.5,1.0,64,E4,0.5,1,0,0.5
0.5,1.0,60,C4,0.5,1,0,0.5
1.0,1.5,60,C4,0.5,1,0,1.0
1.0,1.5,64,E4,0.5,1,0,1.0
1.0,1.25,74,D5,0.25,0,0,1.0
1.25,1.5,72,C5,0.25,0,0,1.25
1.5,2.0,64,E4,0.5,1,0,1.5
1.5,2.0,60,C4,0.5,1,0,1.5
1.5,1.75,71,B4,0.25,0,0,1.5
1.75,2.0,72,C5,0.25,0,0,1.75
2.0,2.5,76,E5,0.5,0,1,0.0
2.0,2.5,57,A3,0.5,1,1,0.0
2.5,3.0,64,E4,0.5,1,1,0.5
2.5,3.0,60,C4,0.5,1,1,0.5
3.0,3.5,64,E4,0.5,1,1,1.0
3.0,3.25,77,F5,0.25,0,1,1.0
3.0,3.5,60,C4,0.5,1,1,1.0
3.25,3.5,76,E5,0.25,0,1,1.25
3.5,4.0,64,E4,0.5,1,1,1.5
3.5,3.75,75,D#5,0.25,0,1,1.5
3.5,4.0,60,C4,0.5,1,1,1.5
3.75,4.0,76,E5,0.25,0,1,1.75
4.0,4.25,83,B5,0.25,0,2,0.0
4.0,4.5,57,A3,0.5,1,2,0.0
4.25,4.5,81,A5,0.25,0,2,0.25
4.5,4.75,80,G#5,0.25,0,2,0.5
4.5,5.0,64,E4,0.5,1,2,0.5
4.5,5.0,60,C4,0.5,1,2,0.5
4.75,5.0,81,A5,0.25,0,2,0.75
5.0,5.25,83,B5,0.25,0,2,1.0
5.0,5.5,57,A3,0.5,1,2,1.0
5.25,5.5,81,A5,0.25,0,2,1.25
5.5,6.0,64,E4,0.5,1,2,1.5
5.5,5.75,80,G#5,0.25,0,2,1.5
5.5,6.0,60,C4,0.5,1,2,1.5
5.75,6.0,81,A5,0.25,0,2,1.75
6.0,6.5,57,A3,0.5,1,3,0.0
6.0,7.0,84,C6,1.0,0,3,0.0
6.5,7.0,60,C4,0.5,1,3,0.5
6.5,7.0,64,E4,0.5,1,3,0.5
7.0,7.5,60,C4,0.5,1,3,1.0
7.0,7.5,64,E4,0.5,1,3,1.0
7.0,7.5,81,A5,0.5,0,3,1.0
7.5,8.0,60,C4,0.5,1,3,1.5
7.5,8.0,64,E4,0.5,1,3,1.5
7.5,8.0,84,C6,0.5,0,3,1.5
8.0,8.5,83,B5,0.5,0,4,0.0
8.0,8.5,52,E3,0.5,1,4,0.0
8.5,9.0,59,B3,0.5,1,4,0.5
8.5,9.0,64,E4,0.5,1,4,0.5
8.5,9.0,81,A5,0.5,0,4,0.5
8.5,9.0,78,F#5,0.5,0,4,0.5
9.0,9.5,59,B3,0.5,1,4,1.0
9.0,9.5,64,E4,0.5,1,4,1.0
9.0,9.5,79,G5,0.5,0,4,1.0
9.0,9.5,76,E5,0.5,0,4,1.0
9.5,10.0,78,F#5,0.5,0,4,1.5
9.5,10.0,81,A5,0.5,0,4,1.5
9.5,10.0,59,B3,0.5,1,4,1.5
9.5,10.0,64,E4,0.5,1,4,1.5
10.0,10.5,83,B5,0.5,0,5,0.0
10.0,10.5,52,E3,0.5,1,5,0.0
10.5,11.0,78,F#5,0.5,0,5,0.5
10.5,11.0,81,A5,0.5,0,5,0.5
10.5,11.0,64,E4,0.5,1,5,0.5
10.5,11.0,59,B3,0.5,1,5,0.5
11.0,11.5,79,G5,0.5,0,5,1.0
11.0,11.5,76,E5,0.5,0,5,1.0
11.0,11.5,64,E4,0.5,1,5,1.0
11.0,11.5,59,B3,0.5,1,5,1.0
11.5,12.0,78,F#5,0.5,0,5,1.5
11.5,12.0,81,A5,0.5,0,5,1.5
11.5,12.0,59,B3,0.5,1,5,1.5
11.5,12.0,64,E4,0.5,1,5,1.5
12.0,12.5,52,E3,0.5,1,6,0.0
12.0,12.5,83,B5,0.5,0,6,0.0
12.5,13.0,78,F#5,0.5,0,6,0.5
12.5,13.0,81,A5,0.5,0,6,0.5
12.5,13.0,59,B3,0.5,1,6,0.5
12.5,13.0,64,E4,0.5,1,6,0.5
13.0,13.5,79,G5,0.5,0,6,1.0
13.0,13.5,76,E5,0.5,0,6,1.0
13.0,13.5,47,B2,0.5,1,6,1.0
13.5,14.0,78,F#5,0.5,0,6,1.5
13.5,14.0,75,D#5,0.5,0,6,1.5
13.5,14.0,59,B3,0.5,1,6,1.5
14.0,15.0,52,E3,1.0,1,7,0.0
14.0,15.0,76,E5,1.0,0,7,0.0
15.0,15.5,76,E5,0.5,0,7,1.0
15.0,15.5,72,C5,0.5,0,7,1.0
15.5,16.0,77,F5,0.5,0,7,1.5
15.5,16.0,74,D5,0.5,0,7,1.5
16.0,16.5,48,C3,0.5,1,8,0.0
16.0,16.5,76,E5,0.5,0,8,0.0
16.0,16.5,79,G5,0.5,0,8,0.0
16.5,17.0,76,E5,0.5,0,8,0.5
16.5,17.0,79,G5,0.5,0,8,0.5
16.5,17.0,60,C4,0.5,1,8,0.5
17.0,17.25,81,A5,0.25,0,8,1.0
17.0,17.5,52,E3,0.5,1,8,1.0
17.25,17.5,79,G5,0.25,0,8,1.25
17.5,17.75,77,F5,0.25,0,8,1.5
17.5,18.0,64,E4,0.5,1,8,1.5
17.75,18.0,76,E5,0.25,0,8,1.75
18.0,19.0,55,G3,1.0,1,9,0.0
18.0,18.5,71,B4,0.5,0,9,0.0
18.0,19.0,74,D5,1.0,0,9,0.0
18.5,19.0,67,G4,0.5,0,9,0.5
19.0,19.5,72,C5,0.5,0,9,1.0
19.0,19.5,76,E5,0.5,0,9,1.0
19.5,20.0,77,F5,0.5,0,9,1.5
19.5,20.0,74,D5,0.5,0,9,1.5
20.0,20.5,48,C3,0.5,1,10,0.0
20.0,20.5,79,G5,0.5,0,10,0.0
20.0,20.5,76,E5,0.5,0,10,0.0
20.5,21.0,79,G5,0.5,0,10,0.5
20.5,21.0,60,C4,0.5,1,10,0.5
20.5,21.0,76,E5,0.5,0,10,0.5
21.0,21.25,81,A5,0.25,0,10,1.0
21.0,21.5,52,E3,0.5,1,10,1.0
21.25,21.5,79,G5,0.25,0,10,1.25
21.5,21.75,77,F5,0.25,0,10,1.5
21.5,22.0,64,E4,0.5,1,10,1.5
21.75,22.0,76,E5,0.25,0,10,1.75
22.0,23.0,55,G3,1.0,1,11,0.0
22.0,23.0,71,B4,1.0,0,11,0.0
22.0,23.0,74,D5,1.0,0,11,0.0
23.0,23.5,69,A4,0.5,0,11,1.0
23.0,23.5,72,C5,0.5,0,11,1.0
23.5,24.0,74,D5,0.5,0,11,1.5
23.5,24.0,71,B4,0.5,0,11,1.5
24.0,24.5,76,E5,0.5,0,12,0.0
24.0,24.5,72,C5,0.5,0,12,0.0
24.0,24.5,45,A2,0.5,1,12,0.0
24.5,25.0,57,A3,0.5,1,12,0.5
24.5,25.0,72,C5,0.5,0,12,0.5
24.5,25.0,76,E5,0.5,0,12,0.5
25.0,25.5,48,C3,0.5,1,12,1.0
25.0,25.25,77,F5,0.25,0,12,1.0
25.25,25.5,76,E5,0.25,0,12,1.25
25.5,26.0,60,C4,0.5,1,12,1.5
25.5,25.75,74,D5,0.25,0,12,1.5
25.75,26.0,72,C5,0.25,0,12,1.75
26.0,27.0,52,E3,1.0,1,13,0.0
26.0,26.5,68,G#4,0.5,0,13,0.0
26.0,27.0,71,B4,1.0,0,13,0.0
26.5,27.0,64,E4,0.5,0,13,0.5
27.0,27.5,72,C5,0.5,0,13,1.0
27.0,27.5,69,A4,0.5,0,13,1.0
27.5,28.0,71,B4,0.5,0,13,1.5
27.5,28.0,74,D5,0.5,0,13,1.5
28.0,28.5,72,C5,0.5,0,14,0.0
28.0,28.5,76,E5,0.5,0,14,0.0
28.0,28.5,45,A2,0.5,1,14,0.0
28.5,29.0,72,C5,0.5,0,14,0.5
28.5,29.0,76,E5,0.5,0,14,0.5
28.5,29.0,57,A3,0.5,1,14,0.5
29.0,29.5,48,C3,0.5,1,14,1.0
29.0,29.25,77,F5,0.25,0,14,1.0
29.25,29.5,76,E5,0.25,0,14,1.25
29.5,29.75,74,D5,0.25,0,14,1.5
29.5,30.0,60,C4,0.5,1,14,1.5
29.75,30.0,72,C5,0.25,0,14,1.75
30.0,31.0,52,E3,1.0,1,15,0.0
30.0,31.0,68,G#4,1.0,0,15,0.0
30.0,31.0,71,B4,1.0,0,15,0.0
31.0,31.25,71,B4,0.25,0,15,1.0
31.25,31.5,69,A4,0.25,0,15,1.25
31.5,31.75,68,G#4,0.25,0,15,1.5
31.75,32.0,69,A4,0.25,0,15,1.75
32.0,32.5,57,A3,0.5,1,16,0.0
32.0,32.5,72,C5,0.5,0,16,0.0
32.5,33.0,64,E4,0.5,1,16,0.5
32.5,33.0,60,C4,0.5,1,16,0.5
33.0,33.5,64,E4,0.5,1,16,1.0
33.0,33.5,60,C4,0.5,1,16,1.0
33.0,33.25,74,D5,0.25,0,16,1.0
33.25,33.5,72,C5,0.25,0,16,1.25
33.5,33.75,71,B4,0.25,0,16,1.5
33.5,34.0,64,E4,0.5,1,16,1.5
33.5,34.0,60,C4,0.5,1,16,1.5
33.75,34.0,72,C5,0.25,0,16,1.75
34.0,34.5,76,E5,0.5,0,17,0.0
34.0,34.5,57,A3,0.5,1,17,0.0
34.5,35.0,64,E4,0.5,1,17,0.5
34.5,35.0,60,C4,0.5,1,17,0.5
35.0,35.25,77,F5,0.25,0,17,1.0
35.0,35.5,60,C4,0.5,1,17,1.0
35.0,35.5,64,E4,0.5,1,17,1.0
35.25,35.5,76,E5,0.25,0,17,1.25
35.5,36.0,60,C4,0.5,1,17,1.5
35.5,35.75,75,D#5,0.25,0,17,1.5
35.5,36.0,64,E4,0.5,1,17,1.5
35.75,36.0,76,E5,0.25,0,17,1.75
36.0,36.25,83,B5,0.25,0,18,0.0
36.0,36.5,57,A3,0.5,1,18,0.0
36.25,36.5,81,A5,0.25,0,18,0.25
36.5,36.75,80,G#5,0.25,0,18,0.5
36.5,37.0,64,E4,0.5,1,18,0.5
36.5,37.0,60,C4,0.5,1,18,0.5
36.75,37.0,81,A5,0.25,0,18,0.75
37.0,37.25,83,B5,0.25,0,18,1.0
37.0,37.5,57,A3,0.5,1,18,1.0
37.25,37.5,81,A5,0.25,0,18,1.25
37.5,38.0,60,C4,0.5,1,18,1.5
37.5,38.0,64,E4,0.5,1,18,1.5
37.5,37.75,80,G#5,0.25,0,18,1.5
37.75,38.0,81,A5,0.25,0,18,1.75
38.0,38.5,53,F3,0.5,1,19,0.0
38.0,39.0,84,C6,1.0,0,19,0.0
38.5,39.0,57,A3,0.5,1,19,0.5
38.5,39.0,63,D#4,0.5,1,19,0.5
39.0,39.5,57,A3,0.5,1,19,1.0
39.0,39.5,81,A5,0.5,0,19,1.0
39.0,39.5,63,D#4,0.5,1,19,1.0
39.5,40.0,57,A3,0.5,1,19,1.5
39.5,40.0,83,B5,0.5,0,19,1.5
39.5,40.0,63,D#4,0.5,1,19,1.5
40.0,40.5,52,E3,0.5,1,20,0.0
40.0,40.5,84,C6,0.5,0,20,0.0
40.5,41.0,64,E4,0.5,1,20,0.5
40.5,41.0,83,B5,0.5,0,20,0.5
40.5,41.0,57,A3,0.5,1,20,0.5
41.0,41.5,81,A5,0.5,0,20,1.0
41.0,41.5,50,D3,0.5,1,20,1.0
41.5,42.0,59,B3,0.5,1,20,1.5
41.5,42.0,80,G#5,0.5,0,20,1.5
41.5,42.0,53,F3,0.5,1,20,1.5
42.0,42.5,81,A5,0.5,0,21,0.0
42.0,42.5,48,C3,0.5,1,21,0.0
42.5,43.0,52,E3,0.5,1,21,0.5
42.5,43.0,57,A3,0.5,1,21,0.5
42.5,43.0,76,E5,0.5,0,21,0.5
43.0,43.5,50,D3,0.5,1,21,1.0
43.0,43.5,77,F5,0.5,0,21,1.0
43.5,44.0,74,D5,0.5,0,21,1.5
43.5,44.0,59,B3,0.5,1,21,1.5
43.5,44.0,53,F3,0.5,1,21,1.5
44.0,44.5,52,E3,0.5,1,22,0.0
44.0,44.5,57,A3,0.5,1,22,0.0
44.0,45.0,72,C5,1.0,0,22,0.0
44.5,45.0,52,E3,0.5,1,22,0.5
44.5,45.0,57,A3,0.5,1,22,0.5
45.0,45.5,52,E3,0.5,1,22,1.0
45.0,45.5,56,G#3,0.5,1,22,1.0
45.0,45.75,71,B4,0.75,0,22,1.0
45.5,46.0,52,E3,0.5,1,22,1.5
45.5,46.0,56,G#3,0.5,1,22,1.5
45.75,45.875,69,A4,0.125,0,22,1.75
45.875,46.0,71,B4,0.125,0,22,1.875
46.0,47.0,45,A2,1.0,1,23,0.0
46.0,47.0,57,A3,1.0,1,23,0.0
46.0,47.0,69,A4,1.0,0,23,0.0
47.0,47.5,69,A4,0.5,0,23,1.0
47.0,47.5,81,A5,0.5,0,23,1.0
47.5,48.0,83,B5,0.5,0,23,1.5
47.5,48.0,71,B4,0.5,0,23,1.5
48.0,49.0,85,C#6,1.0,0,24,0.0
48.0,49.0,73,C#5,1.0,0,24,0.0
48.0,48.5,57,A3,0.5,1,24,0.0
48.5,49.0,57,A3,0.5,1,24,0.5
49.0,49.5,69,A4,0.5,0,24,1.0
49.0,49.5,81,A5,0.5,0,24,1.0
49.0,49.5,57,A3,0.5,1,24,1.0
49.5,50.0,57,A3,0.5,1,24,1.5
49.5,50.0,83,B5,0.5,0,24,1.5
49.5,50.0,71,B4,0.5,0,24,1.5
50.0,50.5,73,C#5,0.5,0,25,0.0
50.0,50.5,57,A3,0.5,1,25,0.0
50.0,50.5,85,C#6,0.5,0,25,0.0
50.5,51.0,83,B5,0.5,0,25,0.5
50.5,51.0,57,A3,0.5,1,25,0.5
50.5,51.0,71,B4,0.5,0,25,0.5
51.0,51.5,57,A3,0.5,1,25,1.0
51.0,51.5,81,A5,0.5,0,25,1.0
51.0,51.5,69,A4,0.5,0,25,1.0
51.5,52.0,68,G#4,0.5,0,25,1.5
51.5,52.0,80,G#5,0.5,0,25,1.5
51.5,52.0,57,A3,0.5,1,25,1.5
52.0,52.5,50,D3,0.5,1,26,0.0
52.0,52.5,66,F#4,0.5,0,26,0.0
52.0,52.5,78,F#5,0.5,0,26,0.0
52.5,53.0,50,D3,0.5,1,26,0.5
52.5,53.0,80,G#5,0.5,0,26,0.5
52.5,53.0,68,G#4,0.5,0,26,0.5
53.0,53.5,69,A4,0.5,0,26,1.0
53.0,53.5,81,A5,0.5,0,26,1.0
53.0,53.5,51,D#3,0.5,1,26,1.0
53.5,54.0,51,D#3,0.5,1,26,1.5
53.5,54.0,71,B4,0.5,0,26,1.5
53.5,54.0,83,B5,0.5,0,26,1.5
54.0,54.5,52,E3,0.5,1,27,0.0
54.0,54.5,68,G#4,0.5,0,27,0.0
54.0,54.5,80,G#5,0.5,0,27,0.0
54.5,55.0,64,E4,0.5,0,27,0.5
54.5,55.0,52,E3,0.5,1,27,0.5
54.5,55.0,76,E5,0.5,0,27,0.5
55.0,55.5,69,A4,0.5,0,27,1.0
55.0,55.5,81,A5,0.5,0,27,1.0
55.0,55.5,52,E3,0.5,1,27,1.0
55.5,56.0,71,B4,0.5,0,27,1.5
55.5,56.0,83,B5,0.5,0,27,1.5
55.5,56.0,52,E3,0.5,1,27,1.5
56.0,57.0,85,C#6,1.0,0,28,0.0
56.0,56.5,57,A3,0.5,1,28,0.0
56.0,57.0,73,C#5,1.0,0,28,0.0
56.5,57.0,57,A3,0.5,1,28,0.5
57.0,57.5,57,A3,0.5,1,28,1.0
57.0,57.5,81,A5,0.5,0,28,1.0
57.0,57.5,69,A4,0.5,0,28,1.0
57.5,58.0,57,A3,0.5,1,28,1.5
57.5,58.0,83,B5,0.5,0,28,1.5
57.5,58.0,71,B4,0.5,0,28,1.5
58.0,58.5,57,A3,0.5,1,29,0.0
58.0,58.5,85,C#6,0.5,0,29,0.0
58.0,58.5,73,C#5,0.5,0,29,0.0
58.5,59.0,83,B5,0.5,0,29,0.5
58.5,59.0,57,A3,0.5,1,29,0.5
58.5,59.0,71,B4,0.5,0,29,0.5
59.0,59.5,81,A5,0.5,0,29,1.0
59.0,59.5,57,A3,0.5,1,29,1.0
59.0,59.5,69,A4,0.5,0,29,1.0
